date_reported,data_type_id,location_id,covid_measure_id,mean,upper,lower,dt_mean,dt_upper,dt_lower,data_class_id
1/22/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/23/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/24/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/25/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/26/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/26/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
