"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","date","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
1,145,2020-03-10,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-10,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-11,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-11,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-12,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-12,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-13,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-13,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-14,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-14,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-15,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-15,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-16,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-16,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-17,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-17,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-18,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-18,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-19,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-19,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-20,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-20,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-21,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-22,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-23,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-23,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-24,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-24,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-25,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-25,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
